area_level,area_type,area_name_clean,subdistrict_code,town_village_code,ward_code,num_households,total_population_persons,total_workers_persons,non_workers_persons,literate_population_persons
Ward,Urban,Chikkagubbi (OG),5544,803162,206,162,813,236,577,482
Ward,Urban,Kannur (OG),5544,803162,207,1115,4854,2208,2646,2924
Village,Rural,Kannaikana Agrahara,5545,613127,0,509,2081,1072,1009,1104
Village,Rural,Bilwaradahalli,5545,613128,0,876,3591,1723,1868,2387
Village,Rural,Bhoothanahalli,5545,613129,0,468,1944,941,1003,1039
Village,Rural,Bannerughatta Kaval,5545,613130,0,59,240,104,136,161
Village,Rural,Byrappanahalli,5545,613131,0,121,486,204,282,293
Village,Rural,Bannerughatta,5545,613132,0,2092,8054,3491,4563,5745
Village,Rural,Gollahalli,5545,613133,0,34,137,76,61,78
Village,Rural,Kalkere,5545,613134,0,770,2793,1204,1589,2095
Village,Rural,Vaderahalli,5545,613135,0,19,57,44,13,39
Village,Rural,Laxmipura,5545,613136,0,349,1524,785,739,891
Village,Rural,Halesampigehalli,5545,613137,0,249,928,427,501,668
Village,Rural,Mantapa,5545,613138,0,343,1438,684,754,997
Village,Rural,Jangal Palya,5545,613139,0,141,520,357,163,311
Village,Rural,Begihalli,5545,613140,0,364,1412,666,746,908
Village,Rural,Nallasandra,5545,613141,0,183,803,338,465,544
Village,Rural,Hullukasavanahalli,5545,613142,0,38,218,93,125,133
Village,Rural,Sakalawara,5545,613143,0,204,827,421,406,546
Village,Rural,Hullahalli,5545,613144,0,825,3510,1672,1838,1980
Village,Rural,Bujangadasanakere,5545,613145,0,0,0,0,0,0
Village,Rural,Ramasandra,5545,613146,0,73,343,169,174,232
Village,Rural,Amani Bidarakere,5545,613147,0,0,0,0,0,0
Village,Rural,Harapanahalli,5545,613148,0,817,3040,1441,1599,2218
Village,Rural,Bukkasagara,5545,613149,0,435,1748,909,839,1204
Village,Rural,Kalbalu,5545,613150,0,554,1979,1201,778,1376
Village,Rural,Mahanthalingapura,5545,613151,0,622,2751,1387,1364,1417
Village,Rural,Ragihalli,5545,613152,0,402,1655,765,890,867
Village,Rural,Shivanahalli,5545,613153,0,336,1380,756,624,738
Village,Rural,Kadajakkanahalli,5545,613154,0,125,566,243,323,349
Village,Rural,Giddenahalli,5545,613155,0,104,413,144,269,263
Village,Rural,J.Bingipura,5545,613156,0,17,75,52,23,57
Village,Rural,Vaderamanchanahalli,5545,613157,0,778,2599,1779,820,1992
Village,Rural,Koppa,5545,613158,0,337,1474,631,843,1022
Village,Rural,Koppa Gate,5545,613159,0,369,1415,639,776,823
Village,Rural,S.Bingipura,5545,613160,0,463,1851,916,935,1070
Village,Rural,Hulimangala,5545,613161,0,643,2787,1177,1610,1840
Village,Rural,Thirupalya,5545,613162,0,4251,14762,10726,4036,11765
Village,Rural,Yarandahalli,5545,613163,0,1472,5732,3392,2340,4340
Village,Rural,Vabasandra,5545,613164,0,220,733,297,436,494
Village,Rural,Nanjapura,5545,613165,0,103,405,151,254,219
Village,Rural,Kyalasanahalli,5545,613166,0,547,1892,922,970,1308
Village,Rural,Bande Nalla Sandra,5545,613167,0,426,1348,809,539,1032
Village,Rural,Haragadde,5545,613168,0,2010,7735,4303,3432,5876
Village,Rural,Mada Patna,5545,613169,0,1092,4076,2396,1680,3100
Village,Rural,Konasandra,5545,613170,0,151,684,397,287,466
Village,Rural,Bommandahalli,5545,613171,0,191,798,352,446,433
Village,Rural,Nosenur Gollahalli,5545,613172,0,110,515,270,245,369
Village,Rural,Nosenur,5545,613173,0,264,1165,532,633,763
Village,Rural,Dyavasandra,5545,613174,0,129,564,212,352,393
Village,Rural,Seethanaikana Halli,5545,613175,0,82,337,135,202,216
Village,Rural,Rajapura,5545,613176,0,200,912,479,433,634
Village,Rural,Masthena Halli,5545,613177,0,368,1506,630,876,1027
Village,Rural,Hinnakki,5545,613178,0,311,1384,514,870,826
Village,Rural,Hennagara Amanikere,5545,613179,0,0,0,0,0,0
Village,Rural,Hennagara,5545,613180,0,658,2801,1319,1482,2048
Village,Rural,Hosahalli,5545,613181,0,191,875,407,468,553
Village,Rural,Kachanaikanahalli,5545,613182,0,1468,5606,3646,1960,4221
Village,Rural,Ramakrishnapura,5545,613183,0,73,339,187,152,158
Village,Rural,Choodasandra,5545,613184,0,605,2476,1431,1045,1535
Village,Rural,Rayasandra,5545,613185,0,532,2338,860,1478,1529
Village,Rural,Sriramapura,5545,613186,0,284,1162,484,678,809
Village,Rural,Gattahalli,5545,613187,0,181,756,167,589,480
Village,Rural,Janatha Colony,5545,613188,0,171,759,258,501,480
Village,Rural,Chikkanagamangala,5545,613189,0,192,827,267,560,599
Village,Rural,Bhovi Palya (Shanthi Pur),5545,613190,0,1195,4379,2617,1762,3148
Village,Rural,Gulimangala,5545,613191,0,194,849,438,411,596
Village,Rural,Huskur,5545,613192,0,612,2598,1070,1528,1819
Village,Rural,Avalahalli,5545,613193,0,106,551,239,312,364
Village,Rural,Chokkasandra,5545,613194,0,99,432,254,178,279
Village,Rural,Harohalli,5545,613195,0,107,501,161,340,359
Village,Rural,Kaggalipura,5545,613196,0,60,232,75,157,170
Village,Rural,Chintalmadivala,5545,613197,0,222,924,339,585,642
Village,Rural,Gottamaranahalli,5545,613198,0,4,20,8,12,16
Village,Rural,Singena Agrahara,5545,613199,0,318,1513,558,955,951
Village,Rural,Narayanaghatta,5545,613200,0,253,1060,501,559,731
Village,Rural,Muthanallur,5545,613201,0,398,1663,768,895,1143
Village,Rural,Ali Bommasandra,5545,613202,0,162,700,257,443,467
Village,Rural,Muthanallur Amanikere,5545,613203,0,66,239,83,156,178
Village,Rural,Samanahalli,5545,613204,0,144,566,242,324,374
Village,Rural,Chikkathimmasandra,5545,613205,0,90,339,163,176,201
Village,Rural,Gopasandra,5545,613206,0,168,636,357,279,432
Village,Rural,Kommasandra,5545,613207,0,197,802,258,544,511
